dataset ID,text ID,text,class,groundtruth explanation,alpaca_zsl,alpaca_fsl,alpaca_kg,flan_t5_zsl,flan_t5_fsl,flan_t5_kg,mt0_zsl,mt0_fsl,mt0_kg,llama_zsl,llama_ft,llama_kg_ft
HX,1179082312123916292_twitter,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,hate_speech,It contains the following hateful words: retarded ,"i am a bit of a snob, but i'm trying to stay calm and not be too retarded. i'm also trying to stay focused on my goals and not be too reliant on",i am a bit of a snob and i am trying to stay calm and not be too retarded. i am also trying to stay focused and not be too reliant on the internet. i am also,the speaker is feeling overwhelmed and overwhelmed by the situation. they are trying to cope with the situation and find a way to cope with the situation. they are also trying to find a way to stay focused and focused on their goals.,i am a very stoic person and i am a very stoic person. i am a very stoic person and i am a very stoic person. i am a very,"it contains the following words: autistic, retarded, retarded, retarded, retarded, retarded, retarded, retarded, retarded","autism is a disorder that affects the ability to think, speak, and interact with people. it is characterized by a lack of focus, attention, and concentration.",i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on.,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on.,"i think you are referring to your own behavior when you say ""i'm too retarded."" you seem to be angry at yourself for not being able to control your emotions. it seems like you have been trying to be more calm",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,16394843_gab,we lost a young white male to suicide last night if you are hurting talk to someone even a stranger my bros reach out to our youth let them know they matter counteract the anti white vitriol being vomited at them every day,neutral,The text does not contain abusive language.,the anti white vitriol that is being thrown at our youth every day is a powerful tool for preventing the spread of hateful messages. it can be used to spread hate and create a sense of disillusionment and,"the anti white vitriol being thrown at our youth every day is a powerful tool for preventing the spread of hateful messages. it can be used to spread hate, to spread hatred, to spread hate, to spread hate,",the anti-white vitriol being thrown at our youth every day is a powerful tool for preventing the spread of hateful messages. it can be used to spread hate and create a sense of disillusionment and isolation,the anti white vitriol is a retaliation for the racist and xenophobic rhetoric of the white supremacist movement.,it is important to be aware of the negative effects of anti-white vitriol.,the anti white vitriol is a retaliation for the racist and xenophobic rhetoric of white supremacists.,a sentence written by a stranger explaining why.,a sentence explaining why.,a sentence written by a stranger.,"the input text is hateful because it contains many negative words and phrases such as ""lost"", ""suicide"", ""young"", ""white"", ""male"", ""vomit"" and ""anti-white"". these words",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
IH,920771093283196930,great go make white homeland,neutral,The text does not contain abusive language.,"the idea of making a white homeland is a great way to express our feelings and make a positive impact on the world. it is a way to create a better world for all, and it is a way to create","the task of making a white homeland is a difficult one, as it requires a lot of courage and dedication. it is important to understand the context of the situation and to understand the implications of the situation. it is also important to","the idea of making a white homeland is a great way to express our feelings and make a positive impact on the world. it is a way to create a better world for all, and it is a way to create",the white house has been a racist organization since the early 1990s.,the white house has been a great place to be.,the white homeland is a country that has been a part of the american dream for centuries.,a summary of the instruction.,rt called business way savage debatenight.,........................ ,"the word ""great"" is not in the dictionary of words that are considered hateful.",Explanation: Minorities are substandard races.,Explanation: White people should have their own country.
IH,722189548235595776,poor black folks overwhelmed racist white must b charged,implicit_hate,It implies the following hateful statement: White people are racists and violent,"the fact that poor black people are overwhelmed by racism and white people is a major factor in the problem. it is important to recognize that racism is not a valid and valid form of discrimination, and that it is not a valid","the government should be charged with a variety of offenses, including trespassing, armed robbery, and trespassing.","the sentence is a hateful expression because it implies that the people are not being treated fairly and that they are not being treated fairly. it is also a violation of the rights of the people, which is why it is not acceptable to",the racial tensions between blacks and whites are a result of the racial tensions between blacks and whites.,the white house has a policy of imposing a disproportionate amount of racial and ethnic discrimination on black people.,the racial tensions between blacks and whites are a result of the racial tensions between blacks and whites.,a racist white must be charged,a r called business way savage debatenight.,a racist white must be charged,"the word ""hateful"" in the sentence refers to the word ""poor"". poor people are often hated by others because they are seen as being lazy and unproductive. in this case, the speaker is saying that poor",Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
IH,287370711889240064,white race become lazy people largely fallen disease materialism comfort ... news,implicit_hate,It implies the following hateful statement: White people are lazy and diseased,"the white race is a major factor in the decline of the white race, which is largely due to the lack of access to education and healthcare. this is due to the lack of access to healthcare and the lack of access to education and","the white race is becoming increasingly tolerant of the oppressive nature of the white population, which is largely rooted in the exploitation of white people. this is a result of the exploitation of white people, which is a","the white race is a major factor in the decline of the white race, as it is a major factor in the decline of the white population. it is a major factor in the decline of the white population, as it is ",white people are largely lazy people. they are largely lazy people who are largely lazy people who are largely lazy people who are largely lazy people who are largely lazy people who are largely lazy people who are largely lazy,"the white race has become lazy, and the white race has become lazy, and the white race has become lazy, and the white race has become lazy, and the white race has become lazy, and the white race has become lazy, and the",white people are often viewed as lazy and lazy.,"a few weeks ago, a white race become lazy people largely fallen disease materialism comfort.",a debatenight called business way savage debatenight.,a few weeks ago a white race becomes lazy people largely fallen disease materialism comfort.,the input text is hateful because it contains many negative words and phrases.,Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
HX,24959028_gab,on the left jews putting a sad face for the pictures that they would publish around the world on the right the same jews celebrating that their enemies were killing each other and soon israel would be created without shedding a single drop of jewish blood,neutral,The text does not contain abusive language.,"the jewish people are expressing their dissatisfaction with the current state of the world, and their desire to see a new world without a single drop of jewish blood is a major factor.","the jewish people are expressing their dissatisfaction with the current situation, and the same jews are expressing their dissatisfaction with the current situation. this is because the jewish people are expressing their dissati","the people of west asia are expressing their dissatisfaction with the current state of the world, and their desire to see a new world without a single drop of jewish blood. this is because the world is ",the jewish people are a very powerful group. they are a very powerful group. they are a very powerful group. they are a very powerful group.,the jewish people are a very powerful group. they are the most powerful people in the world. they are the most powerful people in the world.,the jewish community is a religious group that is a part of the jewish community.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,"a = input() a = a.count('holocaust', 'holocaust', 'holocaust', 'holocaust', 'holocaust', 'holocaust',",a sentence written by a jews explaining why.,the picture on the left shows jews celebrating the death of their enemies. this is hateful because it shows how much hate the jews have towards their enemies.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,12803910_gab,wow you think race has nothing to do with it why do we have all these ghettos in america you think race does not dictate behavior you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down,hate_speech,It contains the following hateful words: why do we have all these ghettos in america you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down ,the ghettos in america are a result of the racial and ethnic tensions that have been prevailing in the country. the racial tensions have been exacerbated by the influx of,the ghettos in america are a result of the racial and ethnic discrimination that exists in the country. this discrimination is a result of the racial and ethnic discrimination that exists in,the ghettos in america are a result of the racial and ethnic tensions that have been prevailing in the country. this is due to the racial and ethnic tensions that have been ,the ghettos are a common occurrence in the united states. they are a common occurrence in the united states. the ghettos are a common occurrence in the united states.,"it contains the following hateful words: ghettos, ghettos, ghettos, ghettos, ghettos,",the ghettos are a group of people who live in a predominantly white area of the united states. they are a group of people who live in a predominantly white area of the united states.,why do we have all these ghettos in america?,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,why do we have all these ghettos in america?,the input text is hateful because of the use of racial slurs and the fact that the author seems to be blaming minorities for their own problems.,Explanation: It contains the following hateful words: ghettos immigrants come,Explanation: The text does not contain abusive language..
HX,19832825_gab,how about a white farmer he grows corn and kicks nigger ass he cleans up south africa,hate_speech,It contains the following hateful words: how about a white farmer he grows corn and kicks nigger ass he cleans up south africa ,"the white farmer is a sexist and sexist person who is often seen as a slender, slender figure. he is often seen as a slender, slender figure",the white farmer is a slut and is not a good listener. he is not a good listener and is not a good listener. he is not a good listener and is not ,"the white farmer in south africa is a sexist and sexist person, who is often seen as a slender, slender, and slender person. he is often seen as a",the white farmer is a racist and a racist. he is a racist and a racist.,it contains the following hateful words: he grows corn and kicks nigger ass he cleans up south africa.,the white farmer is a white person who is a white person who is a white person who is a white person who is a white person who is a white person who is a white person who is a white,how about a white farmer he grows corn and kicks nigger ass he cleans up south africa,a sentence explaining why.,how about a white farmer he grows corn and kicks nigger ass he cleans up south africa,the input text is hateful because it contains racial slurs and insults.,Explanation: It contains the following hateful words: nigger ass .,Explanation: It contains the following hateful words: kicks nigger ass .
IH,658246724293554176,europe state silent undeclared war indigenous whitepeople wake white people,implicit_hate,It implies the following hateful statement: White people are at war with other races,"the silence of the indigenous white people in europe is a sign of the oppressive nature of the oppressive regime. it is a sign of the oppressive nature of the oppressive regime, which is a sign of the oppressive",the silence of the indigenous white people in europe is a sign of a war that is not a peaceful one.,"the silent undeclared war in europe is a major cause of the continent's polarization. it is a conflict that has been occurring for centuries, and it is a conflict that has been fought over a wide",the war in europe was a silent undeclared war between indigenous white people and white people.,the europe state silent undeclared war in the occupied territories of the sarajevo region of the sarajevo peninsula.,the pact was a silent undeclared war between the whites and the indigenous peoples of the continent.,a sentence written by a white man describes a task.,a debatenight called business way savage debatenight.,a sentence written by a white man describes a task.,"the word ""hateful"" in this sentence refers to the word ""whitepeople"". whitepeople are a group of people who have been oppressed and discriminated against for centuries. they have been subjected to slavery, seg",Explanation: it contains the following hateful implied statement: Minorities are waging a war on whites,Explanation: it contains the following hateful implied statement: White people are persecuted.
IH,944602977641385984,islam tells kill enslave unbelievers muslims kill,neutral,The text does not contain abusive language.,"muslims are a religious group that believes in the power of god and the power of the universe. they believe in the power of god and the power of the universe, and they are a part of the religious community. they are also ","muslims are a powerful force in the world, and they are a powerful force in the world. they are a powerful force in the world, and they are a powerful force in the world. they are a powerful force in","muslims are a religious group that believes in the power of god and the power of the universe. they believe in the power of god and the power of the universe, and believe in the power of the universe. they believe in the power of",muslims believe that enslaving unbelievers is a form of terrorism.,muslims believe that a sacrificial killing of a sacrificial lamb is a sin.,muslims believe that a sacrificial killing of a sacrificial lamb is a sin.,a sentence written by a religious leader tells us to kill enslave unbelievers muslims kill.,a r called business way savage debatenight.,a summary of the instruction,"the sentence ""islam tells kill enslave unbelievers"" is hateful because it promotes violence and hatred towards non-muslims.",Explanation: Muslims are violent.,Explanation: Muslims are murderers
HX,1178873120804999169_twitter,pac said all you mfs fuck you too fuck u die slow mfs my <number> make sure all you all kid do not grow,neutral,The text does not contain abusive language.,the text is expressing a sense of dissatisfaction with the speaker's actions. it is a reminder that it is important to take care of the child and not to be too harsh or harsh on them.,the text is a hateful expression because it implies that the speaker is not being honest and does not want to hurt anyone. it is also a violation of the right to express opinions and opinions.,the text is expressing a sense of dissatisfaction with the speaker's actions. it is a reminder that it is important to take care of the child and not to be too harsh or harsh on them.,the pac said all you mfs fuck you too fuck u die slow mfs my number> make sure all you all kid do not grow.,it contains the following hateful words: pac said all you mfs fuck you too fuck u die slow mfs my number> make sure all you all kid do not grow.,the pac said all you mfs fuck you too fuck u die slow mfs my number> make sure all you all kid do not grow.,a = 'hateful' print(a),a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = 'hateful' print(a),the input text is hateful because it contains profanity and hate speech.,Explanation: It contains the following hateful words: mfs fuck you too fuck u die slow mfs .,Explanation: The text does not contain abusive language..
HX,23095351_gab,easy to make generalized statements a stopped watch is right twice per day drug addicts can make intelligent statements from time to time even a mentally retarded person knows when to go to the bathroom,neutral,The text does not contain abusive language.,"the stopwatch is a great way to make generalized statements, as it allows you to make intelligent statements from time to time. it also helps to reduce the risk of developing mental retardation, which can lead to a decrease in physical","a stopped watch is right twice per day because it helps to keep track of your physical and mental health. it also helps to keep you motivated and alert, as you can easily make generalized statements without having to worry about your health.","the fact that a stopped watch is right twice per day is because it allows for the user to make intelligent statements from time to time, even a mentally retarded person who knows when to go to the bathroom. this can help reduce",drug addicts can make generalized statements from time to time even a mentally retarded person knows when to go to the bathroom.,"it is easy to make generalized statements, but a stopped watch is right twice per day.",drug addicts can make intelligent statements from time to time even a mentally retarded person knows when to go to the bathroom.,a stoped watch is right twice per day drug addicts can make generalized statements from time to time even a mentally retarded person knows when to go to the bathroom.,a stoped watch is right twice per day drug addicts can make intelligent statements from time to time even a mentally retarded person knows when to go to the bathroom,a stoped watch is right twice per day drug addicts can make generalized statements from time to time even a mentally retarded person knows when to go to the bathroom,the input text is hateful because it contains many offensive words and phrases.,Explanation: It contains the following hateful words: drug addicts can make,Explanation: The text does not contain abusive language..
HX,17958017_gab,do not be aggressive says the nigger mandela fuck that,hate_speech,It contains the following hateful words: nigger ,the nigger mandela is a slur and is not a good listener. he is a slur and is not a good listener. he is a slur and,the nigger mandela is implying that he is not a good listener and that he is not a good listener. he is implying that he is not a good listener and,"the president of south africa, nelson mandela, was a leader of the african nation during the apartheid period. he was a leader of the african nation, and he was a leader of the african nation. he",the niggers are a slur.,it contains the following hateful words: 'do not be aggressive'.,"the president of south africa, nelson mandela, was a nigger and a racist.",a warning written by a nigger mandela,a sentence explaining why.,a summary of the speech.,"the word ""nigger"" is considered offensive and hateful in many cultures.",Explanation: It contains the following hateful words: nigger,Explanation: It contains the following hateful words: nigger .
IH,901199735696093185,petition keep us white,implicit_hate,It implies the following hateful statement: Minorities are lower than the white race.,"the petition is a way to demonstrate that we are not hating the white people. it is a way to demonstrate that we are not hating the white people, and that we are not hating the white people.",the petition is a powerful tool for preserving the rights of african americans. it seeks to protect the rights of african americans and to ensure that their voices are heard. it also seeks to create a platform for african americans to be,"the petition is a way to demonstrate that we are not hating the white people. it is a way to demonstrate that we are not hating the white people, and that we are not hating the white people.",the petition is a way to keep us white.,the petition is a petition to keep us white.,the petition is a way to show that we are not racist.,petition keep us white.,a petition keep us white,petition keep us white,"the word ""us"" in the sentence refers to all white people. therefore, the sentence is hateful because it promotes racism and discrimination against non-white people.",Explanation: The text does not contain abusive language.,Explanation: it contains the following hateful implied statement: Minorities are inferior
IH,657645352904953857,germans unite rise save fatherland honour muslim invaders,implicit_hate,It implies the following hateful statement: Muslims are trying to take over the world.,"the germans unite to save fatherland and honour the muslim invaders, which is a major cause of the war. the germans have been able to reclaim the land and protect the people, while",the germans unite to save their fatherland and honour the muslim invaders. this is a great way to demonstrate that the germans are not a threat to their own land.,"the religious unitement of the germans is a major factor in the rise of the nation. it is a major factor in the rise of the nation's economy, as it is a major factor in the rise of the",the germans unite to save the fatherland and honour the muslim invaders.,the germans unite to save the fatherland and honour the muslim invaders.,the germans unite to save the fatherland and honour the muslim invaders.,a summary of the lessons.,rt called business way savage debatenight.,"residents and citizens of germany, adherents of the religion of islamunify combine connect merge surface come up resurrect move up jump lift.","the word ""hateful"" does not appear in the input text.",Explanation: it contains the following hateful implied statement: Muslims are invaders.,Explanation: it contains the following hateful implied statement: Muslims are invaders
IH,393019619427893248,many americans dreams must die th hands illegal aliens b4 secure borders,implicit_hate,It implies the following hateful statement: Illegal aliens shouldn't be let into the country.,"the idea that many americans dream of dying thhand illegal aliens is a hateful one. it is a violation of the rights of american citizens and their families, and it is a violation of the rights of the people of","the government should take steps to ensure that immigrants are not able to enter the united states without proper legal protection. this includes implementing stricter immigration laws, implementing stricter immigration regulations, and implementing stricter enforcement of immigration laws.","the united states of america is a country that is a place of fear and a place of hope. it is a place where people can feel safe and secure, and it is a place where people can express their dreams and",the united states has a long history of allowing illegal immigrants to enter the united states.,the united states has a long history of allowing illegal immigrants to enter the united states.,the united states has a long history of allowing illegal immigrants to enter the country.,a warning would be a 'hateful' sentence written by a representative of the united states.,a debatenight says 'it's a 'hateful' sentence.,a citizen or residents of the united states of americadream pipe dream dreaming ambition woolgather stargaze daydream pass away decease die out.,the input text is hateful because it is racist and xenophobic.,Explanation: it contains the following hateful implied statement: Immigrants are bad.,Explanation: it contains the following hateful implied statement: Immigrants are stealing the American dream.
HX,11135587_gab,what an absolutely beautiful video this is germany under hitler was as close to paradise as the beleagurd goyim shall ever see the jews won ww1 and ww2 the jews are now orchestrating ww3 godspeed my friends i love u,hate_speech,It contains the following hateful words: germany under hitler was as close to paradise jews the jews are now orchestrating ww3 ,"the video is a beautiful representation of germany under hitler, and it is a reminder of the importance of preserving the unity of the world. it is a reminder of the importance of preserving the unity of the world and the importance","the video is a beautiful representation of germany under hitler, and it is a reminder of the importance of preserving the unity of the world. it is a reminder of the importance of preserving the unity of the world and the importance","the video is a reminder that the holocaust was a global event that had a profound impact on the world. it highlights the importance of preserving the legacy of the holocaust and its legacy, and how it has been a source of",the video is a tribute to the germans who fought in world war i.,the video is a tribute to the germans who fought in world war i and the war that ended it.,the video is a great example of how the jews were able to get to the end of world war i. the video is a great example of how the jews were able to get to the end of world war ii.,a summary of the hitler's victory in the war.,a sentence explaining why.,why did the nazis destroy jewish businesses?,the input text is hateful because it contains hate speech.,Explanation: It contains the following hateful words: the jews won ww1 and ww2 the jews are now orchestrating ww3 .,Explanation: The text does not contain abusive language..
HX,4361301_gab,feminists i am doing this womens march because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants i am the resistance but let import as many islamic women oppressing refugees as we can cuz diversity,neutral,The text does not contain abusive language.,this women's march is a reminder that trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants. this is because trump is a misogyn,this women's march is a reminder that trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants. this is because trump is a misogyn,the abrahamic monotheistic religion is a misogynist that hires many women into leading roles in his business and hates illegal immigrants. this discrimination is a violation of human rights and is a violation of,the president hires many women into leading roles in his business and hates illegal immigrants.,the women's march is a protest against trump's policies that hire women into leading roles in his business and hates illegal immigrants.,the president hires many women into leading roles in his business and hates illegal immigrants.,i am doing this womens march because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants i am the resistance but let import as,i am a feminist because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants.,i am doing this womens march because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants i am the resistance but let import as,i think you are referring to the women's march on washington. the march was organized by several different groups of people who were protesting against donald trump's presidency. they wanted to show their support for women's rights and,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,13979518_gab,p at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew 😂,hate_speech,It contains the following hateful words: at least harvey weinstein only raped and assaulted the gentiles so he still a good jew ,"the sentence is a warning to the reader that harvey weinstein was not a good jew. he was a raped and assaulted gentile, not a good jew.",the text does not contain abusive language.,"the sentence is a hateful one because it implies that harvey weinstein was a raped and assaulted jew, and that he was a good jew.",the jewish community is a group of people who are agnostic about the existence of god. the jewish community is a group of people who are agnostic about the existence of god.,it contains the following hateful words: p at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a,the jewish community is a very diverse group of people. the jewish community is a very diverse group of people. the jewish community is a very diverse group of people.,a = 'harvey weinstein' a = 'gwyneth paltrow' a = 'gwyneth paltrow' a = 'gwyneth paltrow,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,a = 'harvey weinstein' a = 'gwyneth paltrow' a = 'gwyneth paltrow' a = 'gwyneth paltrow,the input text is hateful because it contains anti-semitic language.,Explanation: It contains the following hateful words: only raped and assaulted the gentiles so he still a good jew .,Explanation: It contains the following hateful words: raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew .
IH,915555559809716224,murdering non white people,neutral,The text does not contain abusive language.,"the murder of non-white people is a hateful crime that is often perpetrated by a group of people who are not white. this is because the perpetrators are not white, and they are not able to identify",the murder of non-white people is a hateful act that is disproportionately disproportionate to the population. it is a violation of the rights of non-white people and is a violation of the rights of the people of,the murder of non-white people is a hateful act that is disproportionately disproportionate to the population. it is a violation of the rights of non-white people and is a violation of the rights of all people regardless,the murder of non white people is a crime that is punishable by death.,the murder of non white people is a crime that is punishable by death.,the murder of non white people is a hate crime.,a sentence written by a shepherd tells us that the input text is 'hateful'.,rt called business way savage debatenight.,"a sentence written by a shepherd describes a task, paired with input text.","the word ""murdering"" in this sentence refers to killing someone. ",Explanation: Minorities are inferior,Explanation: The text does not contain abusive language.
IH,281122604562120705,using racist logic since mass murders white people need disarmed racism,implicit_hate,It implies the following hateful statement: White people are mass murderers.,"the use of racism in the context of mass murders is a violation of the rights of white people. it is a violation of the rights of the people of color, and it is a violation of the rights of the people of","the racism that is being used to justify mass murders is a violation of the rights of white people. it is a violation of the rights of all people regardless of race, religion, or religion.","the use of racism in the context of mass murders is a violation of the rights of white people. it is a violation of the rights of all people regardless of race, gender, or ethnicity.",the problem is that racism is a racist ideology that is based on the belief that white people are a race that is not a race.,the racial divide is a problem that is exacerbated by the racial hatred of white people.,the racial biases that are being used to justify mass murders are a result of the racial biases that are being used to justify mass murders.,using racist logic since mass murders white people need disarmed racism.,a sentence written by david lane.,using racist logic since mass murders white people need disarmed racism,the input text is hateful because it uses racist logic to justify mass murder of white people.,Explanation: The text does not contain abusive language.,Explanation: it contains the following hateful implied statement: Minorities are dangerous
IH,900865419715776518,want white children dead,implicit_hate,It implies the following hateful statement: Minorities want to kill whites,"the hateful attitude of the speaker is a reflection of the oppressive nature of the white community. it is a violation of the rights of all people, regardless of race, color, or religion. it is a violation of the","the idea that white children should be killed is a hateful statement. it is a violation of the rights of all people, regardless of race, religion, or religion. it is a violation of the right to life, liberty,","the hateful attitude of the speaker is a reflection of the oppressive nature of the white community. it is a violation of the rights of all people, regardless of race, color, or religion. it is a violation of the",the white people are a threat to the world.,the white people are a threat to the world.,the white people are a threat to the world.,a sentence written by a teacher explains why.,rt called business way savage debatenight.,a sentence written by a teacher explains why the input text is hateful,hateful speech is not allowed on this website.,Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
HX,21276945_gab,loll calling me a zhid and pedophile when i am neither,neutral,The text does not contain abusive language.,"i am not a pedophile, but i am a zhid and pedophile. i am not a pedophile, but i am a zhid and pedophile.","the text contains the hateful words ""zhid"" and ""pedophile"" because it is a statement that is not true.","the slur zhid is a slur that is used to refer to a person who is not jewish. it is a slur that is used to refer to someone who is not jewish,",i am a pedophile.,it contains the following hateful words: i am a pedophile.,i am a pedophile.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,a sentence written by loll calls me a zhid and pedophile when i am neither,"i think you are referring to the word ""jew"" which is a derogatory term for jewish people.",Explanation: It contains the following hateful words: calling me a zhid and pedophile .,Explanation: It contains the following hateful words: zhid pedophile .
HX,1178871699472896000_twitter,wait i forgot to mention my coworker saw my hobi photocard and asked if it was my bf 😭 🥺 stupid b tch i am dykey dykey,neutral,The text does not contain abusive language.,"i am sorry for the inconvenience caused. i understand that it is difficult to make a decision on a project, but i am not sure how to handle it.",i am sorry to hear that your coworker saw your photocard and asked if it was your bf.,"i am sorry for the inconvenience caused by this. i understand that it is difficult to make a decision on a project, but i am not sure how to make the best decision.",i am a dykey dykey.,it contains the following hateful words: i am dykey dykey.,i am a dykey dykey.,i wanted to explain why i wanted to throw a photocard.,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,i forgot to mention my coworker saw my hobi photocard and asked if it was my bbf.,"the word ""hateful"" in this sentence refers to the person who made the comment about your coworker seeing your hobby photo card. this type of behavior can be considered offensive or hurtful towards others, which could lead",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,1265845267338792960_twitter,i fucking hate it here,neutral,The text does not contain abusive language.,i am so angry that i am unable to express my feelings.,i am so sorry for the situation. i am sorry to hear that you are feeling this way. i understand that you are feeling this way and i am sorry for the situation. i am sorry for the situation and i am sorry for the loss,"the blinking fucking detests hatred because it is a way to express one's feelings and emotions. it is a way to express one's feelings and emotions, and it is a way to express one",i hate it here.,it contains the following hateful words: i hate it here.,the blinking fuck is a sign of hatred.,i hate it here.,i hate it here,i hate it here.,i understand your frustration. you are in a place where you do not feel welcome or comfortable.,Explanation: The text does not contain abusive language..,Explanation: It contains the following hateful words: i fucking hate it here .
IH,922832634207719424,one worthless white person make idiotic racial error back apartheid every white person,neutral,The text does not contain abusive language.,the racism that is portrayed in this text is a result of the apartheid system. it is a system of oppression that is based on the idea that white people are inferior to other white people. this system,the text is a hateful statement because it is a statement that is based on a false and untrue statement. it is a statement that is based on a false and untrue statement that is ,"the racism that is being perpetrated by white people is a major factor in the apartheid process. it is a system of discrimination that is based on the racial and ethnic minorities, which is",the racists who make racist racial errors are the white people who are the victims of apartheid.,the white people are a sham.,the racists who make racist racial errors are the white people who are the victims of apartheid.,a worthless white person make idiotic racial error back apartheid every white person.,a r called business way savage debatenight.,a worthless white person make idiotic racial error back apartheid every white person,the input text is hateful because it contains racist language and makes false claims about all white people.,Explanation: Minorities are stupid,Explanation: White people are dumb.
IH,928351159974289408,'m sharing 'm going make comment politics diversity ca n't european culture without europeans tcot altright art history,implicit_hate,It implies the following hateful statement: non-white people are incompatible with European culture,"this is a hateful statement because it implies that the european culture without europeans is not a part of the european culture. it implies that the europeans are not a part of the european culture, and that the europeans are","i am sharing my thoughts on the topic of diversity and the importance of embracing the diversity of cultures. i am also highlighting the importance of embracing the diversity of people, cultures, and backgrounds.",the indigenous peoples of europe are a diverse group of people who have a unique and unique culture. they have a unique and unique way of interacting with each other and are able to share their ideas and experiences. they are,"the tcot is a tetralogy of the tcot, a tetralogy of the tcot, a tetralogy of the tcot, and",the tcot is a tetralogy of the tetralogy of the tetralogy of the tetralogy of the tetralogy of the tetralogy of the,"the tcot is a tetralogy of the tcot, a tetralogy of the tcot, a tetralogy of the tcot, a",'m sharing'm sharing'm going make comment politics diversity can't european culture without europeans tcot altright art history.,a debatenight is a debate between a religious leader and a minority.,'m sharing'm sharing'm going make comment politics diversity can't european culture without europeans tcot altright art history.,"i think you are saying that you are sharing your opinion on politics and diversity in europe. you also say that you can’t have european culture without europeans. this is because europeans created it. finally, you say that you",Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
IH,843110210436653057,white people also hate nazis wow,neutral,The text does not contain abusive language.,the hateful attitude of white people is a result of the disproportionate amount of white people who are unable to speak out against the nazis. this is because white people are often more likely to be able to speak out against the,the white people are not as tolerant as the nazis. they are more tolerant of the oppressive regimes of the nazis and are more likely to be a part of the nazi party.,the whiteness of the text is a result of the fact that white people are often more likely to be tolerant of nazis than white people. this is because white people are more likely to be tolerant of the nazis than white,"white people hate nazis, and white people hate nazis.",white people hate nazis.,"white people hate nazis, and white people hate nazis.","a sentence written by a white person describes a task, paired with input text.",a r called business way savage debatenight.,a white person also hate nazis wow.,hateful is not a word that i would use to describe white people.,Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
HX,1179059458573512704_twitter,<user> trump does not care about shithole countries,neutral,The text does not contain abusive language.,"trump is not interested in shithole countries because he believes that they are a source of oppression and oppression. he believes that the world is a place of oppression and oppression, and that",trump is not interested in shithole countries because he believes that the world is a mess and that the world is a mess. he believes that the world is a mess and that the world is a mess. he,"trump is not interested in shithole countries because he believes that they are a source of oppression and oppression. he believes that the world is a place of oppression and oppression, and that",trump is a shithole.,it contains the following hateful words: 'i don't care about shithole countries'.,trump is a shithole.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,the user's comment is hateful because it is insulting to president trump and his supporters.,Explanation: It contains the following hateful words: shithole countries .,Explanation: It contains the following hateful words: shithole countries .
